,cust_index,Title,Author,Summary
1159,1159,Drivas' Journal (Partial),Drivas,Drivas attempts to explore an old Rourken ruin
1160,1160,Drolora's Trap Summary,Sister Drolora,Extensive preparations for an ambush
1161,1161,Drop Instructions,Anonymous,A note concerning possible illegal activity
1162,1162,Drothan's Field Journal,Frathen Drothan,Describes how to open the gate to the chamber that contains Mehrunes' Razor. Found in the Mehrunes' Razor official plugin.
1163,1163,Drothan's Journal,Frathen Drothan,"Journal of Frathen Drothan, a rogue Telvanni who wants to topple the Imperial authorities in Morrowind. Found in the Mehrunes' Razor official plugin."
1164,1164,Drovos Research Notes,Drovos Nelvayn,
1165,1165,Drublog Shaman's Journal,Anonymous,A sacred site is infested with Wood Elves of all things
1166,1166,Druid Fables: Butterfly and Faun Lord,Archdruid Ilyes,
1167,1167,Druid Fables: Systres Beavers,Archdruid Ilyes,
1168,1168,Druid Fables: The Proud Faun,Archdruid Ilyes,
1169,1169,Druid Food of Vastyr,Castus Marius,
1170,1170,Druid Funerals: A Piece of Y'ffre,Alleneth,
1171,1171,Druid Scapegoats,Druid Nivienne,
1172,1172,Druid Senna's Last Account,Druid Senna,
1173,1173,Drunken Aphorisms,Midar Nelvilo,Smart words to live by
1174,1174,Drusilla's Notes,Drusilla,Grim notes from a torturer
1175,1175,Dry Page,Anonymous,Another depressing poem
1176,1176,Dryston's Note,Dryston,"Dryston considers ""roughing up"" the player an easy task."
1177,1177,Duchess Astella's Notes,Duchess Astella,A note on plans for a ritual
1178,1178,Duchess Elea's Investigation Notes,Duchess Elea,
1179,1179,Dulkhi's Diary,Dulkhi,A journal of young love
1180,1180,Dulza's Log,Dulza gro-Morkul,A mercenary accidentally fonds his way into Sotha Sil's realm
1181,1181,Dust's Shadow,Anonymous,A Shadowscale uncovers a traitor
1182,1182,Dusty Page,Anonymous,Lovers must part
1183,1183,Duties and Routine,Anonymous,
1184,1184,Duttard's Journal,Anonymous,
1185,1185,Dwarf Light,Anonymous,Tales of the Orsimer and a legendary Dwemer lantern
1186,1186,Dwarven Crown Journal,Elberon Blackthorn,History of Dwarven Crown
1187,1187,Dwarven Haul,Anonymous,Bandits and their Dwemer loot
1188,1188,Dwarven Ruin Explorer's Journal,Anonymous,A band of Argonians met a bad end in this ruin
1189,1189,Dwarven Writings,Anonymous,A translated verse
1190,1190,Dwarves,Calcelmo,Summary of Dwemer culture and achievements.
1191,1191,Dwemer Arrow Diagram,Anonymous,A depiction of a soul trapping arrow
1192,1192,Dwemer Dreams,Narsis Dren,Do treasure hunters in Dwemer ruins dream of Dwemer? You bet.
1193,1193,Dwemer Dungeons: What I Know,Kireth Vanos,A treasure hunter's overview of Dwemer ruins
1194,1194,Dwemer History and Culture,Hasphat Antabolis,Discussed the trivialization of the Dwemer in popular culture thanks to the books of Marobar Sul
1195,1195,Dwemer Inquiries,Thelwe Ghelein,"A series of texts describing Dwemer history, culture, and architecture, especially away from Vvardenfell. Includes Dwemer script."
1196,1196,Dwemer Maintenance Records,Anonymous,The Dwemer kept meticulous records indeed
1197,1197,Dwemer Museum Welcome,Master Aryon,"We don't know who snatched this welcome paper from Tel Vos Museum, but since it is already here, we put this up."
1198,1198,Dwemer Schematics,Anonymous,A compilation of all dwemeri schematics in Vvardenfell.
1199,1199,Eagle Hunter: Against the Dominion,Anonymous,A Covenant pamphlet against the Aldmeri Dominion
1200,1200,Ealcil's Journal,Ealcil,The discovery of a weather-controlling artifact
1201,1201,Ealcil's Notes,Ealcil,
1202,1202,Earana's Notes,Earana,"These notes are given to the player during the Mages Guild quest ""Chorrol Recommendation""."
1203,1203,East Empire Connection,Anonymous,Results of the integation of an East Empire Company officer by the Thieves Guild.
1204,1204,Ebon Crypt,Ambrel,Ambrel has a plan regarding this contested place and its treasures
1205,1205,Ebony Blade History,Anonymous,History of the Daedric artifact
1206,1206,Ecology of the Death Hound,Odgrete Bjersen,A bit of information about the vampire's best friend
1207,1207,Ecology of the Ornaug,Fronto Maecilius,
1208,1208,Edvilda's Log Book,Edvilda,An adventurer's log
1209,1209,Edweg's Resignation Note,Edweg,"This Brother of Arkay is skeptical of a plan, and chooses to back out"
1210,1210,EEC Stock Certificate,Carnius Magius,Stock certificate of Raven Rock division of the East Empire Company.
1211,1211,Effects of the Elder Scrolls,"Justinius Poluhnius, Anstius Metchim",Describes the various grades of blindness and understanding granted by the Elder Scrolls to their readers.
1212,1212,Effects of the Elder Scrolls,Justinius Poluhnius,Describes the various grades of blindness and understanding granted by the Elder Scrolls to their readers.
1213,1213,Egg Mines and You!,Kylia Thando,An expert wrangler introduces us to kwama and their social structure
1214,1214,Egg-Tender's Journal,Anonymous,"Contains details on how eggs are cared for in black marsh, as well as tribal politics"
1215,1215,Egg-Tender's Unfinished Letter,Anonymous,
1216,1216,Ehlhiel's Journal,Ehlhiel,Journal of a a crimson dirk bandit
1217,1217,Eiman's Fishy Secrets,Eiman,Eiman's personal tips for preparing fine aquatic dishes
1218,1218,Eisa's Journal,Eisa,Treasure hunters uncover something that definitely isn't treasure.
1219,1219,Eislef's Journal,Eislef,Eislef's journal about life in Riften
1220,1220,Elante's Notes,Elante,"Elante seems to be a Necromancer searching for great power in Mordrin Hanin's tomb, as detailed in this journal."
1221,1221,Elberon's Journal,Elberon Blackthorn,Mages expedition into a Dwemer ruin
1222,1222,Elbert Nermarc's Private Note,Elbert Nermarc,"Nothing can be read from this notes. This is owned by Elbert Nemarc, The Enchanter of Mournhold, Godsreach."
1223,1223,Eldbjorg's Needed Ingredients,Anonymous,Eldbjorg sure needs a lot of diverse and unusual things
1224,1224,Elder Scroll,Anonymous,Secrets of the universe not included.
1225,1225,Elder's Account,Anonymous,An Argonian elder explains the calendar
1226,1226,Elders of Bramblebreach,Anonymous,A song about ones ancestors
1227,1227,Elegian's Notes,Elegian,Notes on research of changing daedra
1228,1228,Elegian's Notes,Elegian,Notes on improving the catalyst
1229,1229,Elenaire's Journal,Elenaire,A researcher's journal documenting her survey of Hel Ra Citadel
1230,1230,Elf Prisoner's Note,Anonymous,Short note from an Elven prisoner held by Argonians
1231,1231,Elphirion's Journal,Elphirion,Elphirion details a plan to request aid from the Nereids
1232,1232,Elsweyr Dragon Defense Force Summons,Anonymous,
1233,1233,Elsweyr My Love,Anonymous,"A lecherous Imperial commander, a conflicted soldier, and a dancer caught in the middle"
1234,1234,Elsweyr Needs You!,Anonymous,
1235,1235,Eltry's Note,Anonymous,
1236,1236,Elven Artifacts,Anonymous,Another excerpt of a big lore book. This part talks about the Flask of Lillandril.
1237,1237,"Elven Eyes, Elven Spies",Zwinthodurr Roun-dar,Anti-Thalmor pamphlet warning of the Eyes of the Queen
1238,1238,Embracing the Natural Order,Parisse Ergalla,
1239,1239,Emerald Eye Mage's Journal,Emerald Eye Mage,
1240,1240,Emeric's Judgment,High King Emeric,
1241,1241,Emperor Kastav's Epitaph,Honor Guard Captain Sadineras-Kor,Tomb inscription for the deposed Emperor
1242,1242,Enak-do's Ledger,Enak-do,
1243,1243,Enchanter Practicum,Defessus Lector,Yet another chiding diatrabe against Bardus
1244,1244,Enchanter's Primer,Sergius Turrianus,An introduction to the principles of enchanting.
1245,1245,Enchanting Made Easy,Fishes-For-Runes,A beginner's guidebook to enchanting with runestones
1246,1246,End of my Patience,Ren-dro,Ren-dro is upset at competition in the area
1247,1247,End of the Journey,Anonymous,Veloth and his people arrive in the Promised Land
1248,1248,Endarre's Log,Endarre,"Endarre reaches the end of life, but prays for a lover"
1249,1249,Endrast's Journal,Endrast,Attempt to escape from a Dwemer ruin filled with Falmer.
1250,1250,Enduring Nord Society,Nevil Hleran,A rather biased view of Nord society by a Dunmer ally
1251,1251,Engine of Expression,Proctor Albacron,An introduction to the gear-based phrases of Sotha Sil's disciples
1252,1252,Engraved Pedestal,Anonymous,Notable deeds of the Veloth family
1253,1253,Enigma of the Runestones,Telenger the Artificer,A history of Runestones as used for enchantment
1254,1254,Enthoras' Journal,Enthoras,Notes on shipping throughout Valenwood
1255,1255,Entila's Folly,Anonymous,Bahkig seeks play mates
1256,1256,Entry 19,Anonymous,A Khajiit's journal entry about a horrible plague
1257,1257,Enzamir's Note,Enzamir,
1258,1258,Eorim's Tale,Eorim,A member of the Stonefist Brigade recounts their exploits and foundation
1259,1259,"Epics of Mehrunes Dagon, Volume 1",Valentine Liore,Tales about Dagon
1260,1260,"Epics of Mehrunes Dagon, Volume 2",Valentine Liore,Tales of Mehrunes Dagon
1261,1261,Epistle on the Spirits of Amun-dro,Thava-ko,"A priest's refutation of an ancient, heretical text"
1262,1262,Epitaph of Bjarfrud Skjoralmor,Anonymous,"A short, poetic history of the founding of Falkreath, as writ on tombstone"
1263,1263,Epode of the Ansei Wards,Weltan of Sentinel,Praise to the Ansei wards against the undead
1264,1264,Eranya's Journal,Eranya,Journal of a researching seeking an artifact
1265,1265,Eranya's Notes on Sivdur's Tomb,Eranya,notes of a researcher seeking an artifact
1266,1266,Eranya's Research Notes,Eranya,Notes of a researcher seeking an artifact
1267,1267,Erden Relvel's Note,Erden Relvel,Note about stealing a mask
1268,1268,Erj's Note,Erj,
1269,1269,Erna's Note to Brandr,Erna,A 'love' letter?
1270,1270,Ernanthil's Journal,Ernanthil,Journal of a man who wishes for riches
1271,1271,Erokii Relics,Anonymous,Orders to search an Ayleid ruin
1272,1272,Ertival's Recounting,Anonymous,
1273,1273,Erwan's Journal,Erwan,History of a bandit leader
1274,1274,Esdir's Old Journal,Esdir,Esdir's journal regarding his comrads
1275,1275,Eshraf's Journal,Eshraf,
1276,1276,Eslaf Erol Series,Reven,"The life of Eslaf Erol, ironical and completely ludicrous."
1277,1277,Essanyon's Records,Essanyon,A zealous cult to Auri-El commits some questionable acts
1278,1278,Establish Watchposts,Captain Priscus,Military orders to establish watch posts in Cyrodiil
1279,1279,Etching on Ancient Sword,Anonymous,A cryptic old note etched on a sword
1280,1280,Etiquette With Rulers,Erystera Ligen,A brief explanation of how nobility of High Rock is organized. Reading this book in the game does not raise one's Etiquette skill.
1281,1281,Eulogy for Emperor Varen,"Lord Abnur Tharn, Chancellor of the Elder Council",An overwrought goodbye
1282,1282,Euraxia's Personal Journal,Euraxia Tharn,The Quebec's reflections on Khajiiti legend
1283,1283,Euraxian Necromancers,Khamira,
1284,1284,Evacuation Order,"Porcius Sisenna, Administrator",The prison must be evacuated immediately according to this missive
1285,1285,Evaluation of Saint Felms,Anonymous,Concerns the uneasy state of the St. Felms construct
1286,1286,Evaluation of Saint Llothis,Anonymous,A description of St. Llothis' depressive state
1287,1287,Evaluation of Saint Olms,Anonymous,St. Olms is unable to adapt to his role as a clockwork being
1288,1288,Eveli's Speech Ideas,Eveli,Notes about what to include in a speech
1289,1289,Everfull Flagon Journal,Anonymous,The personal journal of the Flagon proprieter
1290,1290,Evergrowth Restoration Ritual,Anonymous,
1291,1291,Evethra's Journal,Evethra,Ramblings of an Armorer obsessed with amber and madness ore
1292,1292,Exarch's Orders,Exarch Braadoth,Production of Nirncrux
1293,1293,Excavation Leader's Journal,Anonymous,Journal about an excavation of an Ayleid Ruin
1294,1294,Excavation Orders,Anonymous,More like a motivational message than a set of orders
1295,1295,Excerpt from al-Danobia Heist Journal,Anonymous,Yokudan history may play a part in solving this vault's riddle
1296,1296,Excerpt from Cosh's Papers,Cosh,Confirms the lease of Hubalajd Palace to Cosh
1297,1297,Excerpt from The Hidden Tunnels of Orsinium,Anonymous,
1298,1298,Excerpts From Fabricated Flora: A Study,Acolyte Kelviv,A short examination of the Clockwork City's only organic flora
1299,1299,Exclamations,Anonymous,Region-based exclamations and curses from around the Empire.
1300,1300,Excuses Don't Buy Mansions,C,An angry note with a self-explanatory title
1301,1301,Exegesis of Merid-Nunda,Phrastus of Elinhir,A text on the origin of Meridia and the Magna-Ge
1302,1302,"Exiled from Exile, Volume 7",Yasra al-Ash'abah,Encounters with Daedric runes from Could Harbour
1303,1303,Exodus from Summerset,Anonymous,A romantesized version of Veloth's story
1304,1304,Exodus of the Druids,Druid Laurel,
1305,1305,Expedition Manifest,Sulla Trebatius,A log of a doomed archaeological expedition.
1306,1306,Experiment Journal,Anonymous,Using ice-zombies as workmen
1307,1307,Exploring the Xal Ithix Ruins,Looks-Under-Rocks,Looking for ancient Argonian artifacts
1308,1308,Exposing a Terrible Evil,Anonymous,A family's discoveries about the Dark Brotherhood
1309,1309,Eydis's Journal,Eydis,A reluctant explorer in Fahlbtharz.
1310,1310,Eydvina's Note,Eydvina,A warriors goodbye
1311,1311,Eye of Zthenganaz,Anonymous,Overview of a Dwemeri artifact meant for spycraft
1312,1312,Eyes of Nothing,Romien Garvette,Creepy observations on crows from a follower of Nocturnal
1313,1313,Eyes of the Falmer Map,Anonymous,A map showing the location of the Eyes of the Falmer.
1314,1314,Eyes of the Queen Only,Anonymous,Unsolved murders in Stormhold lead to a loss of faith in the local government
1315,1315,Eyes Open,Anonymous,
1316,1316,Eyewitness to the Wall,Anonymous,First hand a count of the building of Varen's Wall
1317,1317,Factor Luluelle's Report,Lacherie,One frustrated shipment manager's ledger
1318,1318,Factotum Classification - Log 233,Proctor Neimos,Types and personalities of the mechanical citizens of the Clockwork City
1319,1319,Factotum Model Registry,Anonymous,Lists previous factotum models and improvements in the current generation
1320,1320,Faculty Application,Colassewen of Firsthold,A knowledgeable tutor/scholar applies for a job
1321,1321,Faded and Dusty Scroll,Anonymous,A description and warning about a warded Ayleid chest
1322,1322,Faded Diary,Anonymous,A short diary of someone who survived the Red Year.
1323,1323,Faded Note,Anonymous,A note found on the top of one roof in Crucible.
1324,1324,Faded Note,Anonymous,The assistant to a once good man laments the way his life turned out
1325,1325,Faendal's Fake Letter from Sven,Faendal,Tries to make Sven look bad in the eyes of Camilla.
1326,1326,Fain Scrolls,Anonymous,
1327,1327,Fair and Fresh Upon the Lea,Bard Adistair,
1328,1328,Fair Argonian Maiden,Anonymous,A humorous bit of poetry about frisky children of the Hist
1329,1329,Faith in Dust and Stone,Anonymous,A Dragonguard plaque found in Dov-Vahl shrine in Anequina
1330,1330,Faith in the Shadow of Red Mountain,Canon Llevule,A sermon to calm troubled hearts
1331,1331,Faithful One,Anonymous,A note by someone who appreciates the faithfulness of a grave tended
1332,1332,Fake Research Notes,Anonymous,Fake research notes
1333,1333,Fakimal's Letter,Bailiff Fakimal,The Bailiff's resignation letter
1334,1334,Faleen's Letter to Calcelmo,Faleen,
1335,1335,Falkfyr's Complete Report,Falkfyr Snowmason,Report on a mission to track Reachmen
1336,1336,Fall From Glory,Nithilis Lidari,The current state of Skyrim's Thieves' Guild.
1337,1337,Fall of the Snow Prince,Lokheim,Chronicle of a battle between Falmer and Nords on Solstheim in the early 1st era.
1338,1338,Falling,Anonymous,An eerie note about a mystery
1339,1339,Falsehoods and Fallacies of the Eight,Anonymous,A diatrabe against the Divines
1340,1340,Faltonia's Promise,Anonymous,History of a town founded on a false promise
1341,1341,Famed Artifacts of Tamriel,Anonymous,A found in the Mournhold Museum of Artifacts which is almost identical to Tamrielic Lore.
1342,1342,Famia Mercius's Journal,Famia Mercius,The main quest giver for Murkmire tells the DLC's story and gushes about the player
1343,1343,Fan of False-Face,Speaker Gilzaron,Instructions for using a magical fan that allows one to change their identity
1344,1344,Fanatic's Orders,Anonymous,
1345,1345,Fang of the Sea Vipers,Telenger the Artificer,Modern relations with the Maormer
1346,1346,Fang-Furls' Business Ledger,Fang-Furls,A business ledger
1347,1347,Fang-Furls' Dead Drop,Anonymous,A note regarding cultists messing with smugglers
1348,1348,Fang-Furls' Second Dead Drop,Anonymous,notes regarding competition between smugglers
1349,1349,Fang-Furls' Third Dead Drop,Anonymous,note on smugglers vs cultists
1350,1350,Fantos Epilion's Journal,Anonymous,Attempts to finds a use for dreugh puke
1351,1351,Faralda's Notes,Faralda,Chronicles of poor penmanship.
1352,1352,Farandare's Journal,Farandare,Farandare dreams of Falinesti and of a long ago lover
1353,1353,Farangel's Delve: Further Orders,Anonymous,
1354,1354,Farewell Missive,Hadmal Lastblood,A final apology to a friend
1355,1355,Farewell Note to Lauriel,Selenwe,A sister's goodbye note
1356,1356,Fargrave Happenings,Ilark Kynval,Log of recent events in Fargrave
1357,1357,Fargrave's Song,Anonymous,A song about Fargrave
1358,1358,Fasaran's Diary,Fasaran,Musings on the formation of the Dominion
1359,1359,Fascinating Relics,Telenger the Artificer,An eccentric sorcerer's note to his assistant
1360,1360,Father of the Niben,"Florin Jaliil, trans.","An ancient poem about Topal the Pilot, with modern commentary."
1361,1361,Father's Missive,Anonymous,A father's letter to his willful daughter.
1362,1362,Fauns' Thicket Research Notes,Druid Madena,
1363,1363,Faven's Note,Faven Indoril,Denial of a request for Deadric tenants
1364,1364,"Fear the Foe, Heed the Teacher",Anonymous,A Dragonguard plaque found in Dov-Vahl shrine in Anequina
1365,1365,Fearless as the Sun,Nynelle Dumaris,
1366,1366,Felgol's Note,Anonymous,A dying adventurer hates statues
1367,1367,Felhorn,Anonymous,A Malacath devotee becomes champion
1368,1368,Fell's Brigade Orders,Commander Leonce,The commander requests more Orc prisoners
1369,1369,Fellowship of the Temple,"Archcanon Tholer Saryoni, Tribunal Temple",An essential book that need to be read before joining the Tribunal Temple.
1370,1370,Fellrunner Failure?,Anonymous,
1371,1371,Fenrik's Journal,Fenrik,A Vigilant's fall from glory
1372,1372,Fera's Journal,Fera,
1373,1373,Ferhara's Warclaws,Captain Brivan,Letter promoting a mercenary company
1374,1374,Ferian Darkstorm,Anonymous,Description of a rather weak champion
1375,1375,Ferone's Instructions,Anonymous,
1376,1376,Feyfolken,Waughin Jarth,The classic tale of scribe and his enchanted quill.
1377,1377,Feyne Vildan's Diary,Feyne Vildan,A long-suffering wife's diary
1378,1378,Ffoulkes' Firmament,Ffoulke,An excerpt of a book about stars and constellations.
1379,1379,Field Guide to River Trolls,Phrastus of Elinhir,"Summary of what little we know about trolls, with an emphasis on the River Trolls of Cyrodiil"
1380,1380,Field Guide to Spriggans,Phrastus of Elinhir,A short but detailed description of the Spriggans of Tamriel
1381,1381,Fight As Prey,Anonymous,A Dragonguard plaque found in Dov-Vahl shrine in Anequina
1382,1382,Fijeh's Instructions,Fijeh,Instructions to assist Fijeh
1383,1383,Fijeh's Letter to [Player Name],Fijeh,Letter requesting assistance
1384,1384,Final Lesson,Aegrothius Goth,Another lesson imparted by the Great Sage (from the Feyfolken books) to his students.
1385,1385,Final Letter of Sergeant Berarah,Sergeant Berarah,A dying soldier provides a clue
1386,1386,Final Statement of Leobert Charien,Leobert Charien,One wronged man follows his nemesis into a dark and evil place
1387,1387,Final Thoughts,Anonymous,A person apologizes for joining the Scaled Court.
1388,1388,Final Will and Testament of Fovus Rivul,Fovus Rivul,Final will of a person captured by cultists
1389,1389,Final Words,Anonymous,
1390,1390,Find the Lodestones!,A notice for the dreadsails to find loadestones,
1391,1391,Findings on the Elemental Volatility of Imps,Anonymous,Results of a failed experiment
1392,1392,Finimi's Domicile,Anonymous,
1393,1393,Finimi's Spellbook,Anonymous,
1394,1394,Fire and Darkness,Ynir Gorming,
1395,1395,Fire and Darkness,Ynir Gorming,A history of the Dark Brotherhood and the Morag Tong in two parts
1396,1396,Fire's Grip,Doratella,Doratella has found a good spot for a workshop
1397,1397,Firebrand Watch,Anonymous,The Lion Guard has lazily abandoned another fort
1398,1398,Firras' Journal,Firra,Firra speaks about a powerful artifact in possession of the Thalmor
1399,1399,First Gravestone,Anonymous,Gravestone of a young warrior
1400,1400,First Letter from Linwe,Linwe,
1401,1401,First Signs of the Flu,Anonymous,The Knahaten flu comes to Orcrest
1402,1402,Firuin's Journal,Firuin,
1403,1403,Firuth's Writ,Master Firuth,
1404,1404,Firuth's writ of Endorsement,Master Firuth,Endorsing Sun-in-Shadows promotion to Retainer of House Telvanni
1405,1405,Fish Out of Water,Viriya,Note about mudcrabs
1406,1406,Fisherman's Journal,Faldrin,A journal of a fisherman who found a Dwarven mystery
1407,1407,Fisherman's Journal,Anonymous,"A fisherman describes his encounter with ""witch lights"""
1408,1408,Fisherman's Letter,Anonymous,An unsuccessful fisherman is angry at his friend.
1409,1409,Fisherman's Note,Anonymous,Note from a fisherman
1410,1410,Fishing Camp Checklist,Anonymous,The important chores of a fishing camp
1411,1411,"Fishing Mastery, v1",Swims-In-Deep-Water,A book about mastering fishing
1412,1412,"Fishing Mastery, v2",Swims-In-Deep-Water,A book about mastering fishing
1413,1413,"Fishing Mastery, v3",Swims-In-Deep-Water,A book about mastering fishing
1414,1414,"Fishing Mastery, v5",Swims-In-Deep-Water,A book about mastering fishing
1415,1415,Fishing Work,Swims-In-Deep-Water,Note about fishing work
1416,1416,Fistalle's Note,Fistalle,An allegory about a cat and two rats
1417,1417,Fists of Thalmor,Anonymous,Orders to protect the harbor during an important ceremony
1418,1418,Five Claws Battle Cries,Khasabi,A collection of slogans for one Arena team
1419,1419,Five Songs of King Wulfharth,Anonymous,"Summaries of the Songs of King Wulfharth, which tell of his rise to, and fall from, power. Also includes the hidden songs about his involvement at Red Mountain."
1420,1420,Five-Fold Felicitations!,Ambarre,A match-making aunt introduces several potential suitors to her niece
1421,1421,Fjar's Interrogation Transcript,Anonymous,"An interrogation begins, cordially enough"
1422,1422,Fleeing Senchal,Riifa,A healer's reflection after the burning of Senchal
1423,1423,Fleet Queen's Orders,Anonymous,
1424,1424,Fleg's Note,Fleg,A pirate warns his captain about some faulty reassure maps
1425,1425,Flesh to Cut from Bone,Anonymous,A grisly pirate song
1426,1426,Flight from the Thalmor,"Hadrik Oaken-Heart; Ashad Ibn Khaled, ed.",A Nord's account of his capture by Thalmor Justiciars.
1427,1427,Flora and Fauna of the Burn,Anthropus Galia,A guide to plants and animals within the Burn
1428,1428,Flora and Fauna of the Druadach Mountains,"Telraves Decanis, Imperial Botanist",Fauna of the Druadach Mountains
1429,1429,Flora and Fauna of the Sever,Anthropus Galia,About the life that lives in the Sever
1430,1430,Flora of Hammerfell,Anonymous,"A book about common Hammerfell flora. Again, this is  just an excerpt."
1431,1431,Flu Victim's Note,Anonymous,Describes the symptoms of the Knahaten flu
1432,1432,Flyleaf Catacombs,Anonymous,The author of this note finds himself regretting a few recent life decisions
1433,1433,Follow-Up Performance Notes,Anonymous,
1434,1434,Followers of the Gray Fox,Anonymous,The rules of the Thieves Guild of Cyrodiil.
1435,1435,Folly in Fixation,Estiraamo,A pamphlet extoling the Battlemage tradition
1436,1436,Folly of Man,Anonymous,"The creation myth in a song, with plenty of anti-man and anti-Lorkhan sentiment"
1437,1437,Folly of the Northmen,Anonymous,A pamphlet advising Bretons to war their Nord cousins against their allies
1438,1438,Food Item List for Travel,Anonymous,Dietary requirements for Thane Svyne
1439,1439,Food of the Deadlands,Fralav Polus,Food items from the Deadlands
1440,1440,Fool!,T.,
1441,1441,Foolish Wings,Romien Garvette,A note on the ravens of evergloam
1442,1442,Fools' Ebony,Frincheps,"An interesting, somewhat funny reading. Contains some lewd hints, but nothing explicit. Rather long."
1443,1443,For Captain Telomure,Lewell,
1444,1444,For Donel from Father,Frodibert Fontbonne,One supportive father does his son a favor
1445,1445,For Donel from Father,Frodibert Fontbonne,A scholarly father gives his blessing to his warrior son
1446,1446,For Glory!,Anonymous,
1447,1447,For Letter Finder,Anonymous,A starving tribe loses knowledge civilization to the winter
1448,1448,For Mathal,Enak-do,
1449,1449,For My Beloved Kud-Nakal,Chal-Maht,Argonian love poem
1450,1450,For My Gods and Emperor,Imperial Cult,An essential book that need to be read before joining the Imperial Cult
1451,1451,For My Love,Freiwen,
1452,1452,For Sale,Halvar,Offering a goat for sale
1453,1453,For Shelly,Trius,A man waits for his lover.
1454,1454,For the Archery Competition,L,The Stormfist Clan intends to cheat in this contest
1455,1455,"For the Doyen, Sleek Splendid-Paws",Lithyyorion,A thief looks to get in on a heist
1456,1456,For The Drinking Contest,L,The Stormfists are cheating yet again
1457,1457,For the Old of Akavir,Anonymous,A Dragonguard plaque found in Dov-Vahl shrine in Anequina
1458,1458,For The Preliminary Duels,L,The Stormfists don't play fair
1459,1459,For The Tracker's Competition,L,The Stormfist Clan continues to cheat
1460,1460,For Your Next Celebration,Anonymous,
1461,1461,Forbidden Research Notes,Anonymous,Perhaps this research was forbidden for a reason
1462,1462,Forebear's Note,K'avir,A note on Crowns and Forebears
1463,1463,Foreman's Complaint,Anonymous,A mine can't produce this much stone
1464,1464,Foreman's Letter,The Boss,A geode mine proves less than profitable for the Mages Guild
1465,1465,Foresworn Missive,Anonymous,A warning to Alaric.
1466,1466,Foresworn Note,Anonymous,Swearing of allegiance to the Matriarch and the cause.
1467,1467,"Forge, Hammer, and Anvil","Thorbald; Adolphus Eritius, ed.","The materials needed to make various armors, plus some humerous comments."
1468,1468,Forged in the Heart of Mundus,the Dragonsmith of Bruma,A pamphlet promoting the powers of the Dragon Knight
1469,1469,"Forged Letter From ""Zali""","""Zali""",
1470,1470,Forged Second Cohort Orders,Captain Helenus,A change of plans for the troops
1471,1471,"Forgotten Seasons, V1",Elberon Blackthorn,A mages research into the weather witch of Vardnknd
1472,1472,Forgotten Tome,Anonymous,
1473,1473,Forsworn Shaman's Note,Anonymous,Hints at Shaman's plans for a Knight Heart
1474,1474,Founding of the Spirit Wardens,"Janise Muric, Third Warden of the Faithful Circle",One Orc Chieftan's pact with Azura
1475,1475,Four Coins of Yore,Anonymous,A bawdy verse
1476,1476,Fourth Gravestone,Anonymous,A mundane inscription from the late first era
1477,1477,Fragment: On Artaeum,Taurce il-Anselma,The Isle of Artaeum is the home of the Psijic Order.
1478,1478,Fragment: On Artaeum,Taurce il-Anselma,An essay regarding the mysterious island of the Psijics.
1479,1479,Fragmentae Abyssum Hermaeus Morus,Anonymous,A series of dreams featuring Ysgramor and Hermaeus Mora
1480,1480,Franara's Journal,Franara,An Orc has overstayed his welcome
1481,1481,Frayed Note,Anonymous,
1482,1482,Frederick's Letter,Frederick,A letter regarding a person's desire to join the Blackcaster Mages Guild
1483,1483,Free Market of the People,Anonymous,Information and advertisement for the port of Anvil
1484,1484,Free Our Goblin Brothers!,Anonymous,A cry for Goblin emancipation from slavery
1485,1485,Freedom's Price,Anonymous,Star-crossed lovers in pre-emancipation Morrowind
1486,1486,Freiwen's Diary,Freiwen,
1487,1487,Frelytte and Pular: A Love Song,Anonymous,A joyful Mordic love song
1488,1488,Freshly Penned Note,Savarak,
1489,1489,Frirhild's Journal,Frirhild,
1490,1490,Frog Stealing Plans,Bernadette,
1491,1491,"From ""Private Proceedings of the Imperial Commission""",Anonymous,Recommendation to seal the Battlespire gates in light of other matters
1492,1492,"From ""The Chronicles of Janisiere""",Janisiere,Brief text about what happened to the heroes of Battlespire
1493,1493,From A Copy For The Archive,Nicolas,A discreet note between Thieves Guild members
1494,1494,From Frog to Man,Meekus Ralbrek,An essay about Grummites.
1495,1495,From Jofnir to Merric,"Jofnir Iceblade, Guildmaster",A plot by the guildmaster
1496,1496,From Nirn to the Aether,Anonymous,One researcher was laughed at - but he will show them all!
1497,1497,From Old Life To New,Botjolf Meadwarmer,A fable about the Old Life festival and the wolf who would eat the sky
1498,1498,"From private correspondence of Julianos Cennan, Chamberlain to Uriel Septim",Julianos Cennan,Questions about Mehrune's Dagon's return following the conclusion of Battlespire
1499,1499,From Regent of Serpentine Stratagems,Regent Cassipia,Exarch Arnoth receives orders from Regent Cassipia.
1500,1500,From Seyda Neen to Balmora by Road,Elone,Directions to Balmora from Seyda Neen.
1501,1501,From Shad Astula with Love,Geirvarda,One young mage is living the dream and serving the Pact
1502,1502,From the Regent of Fanged Fury,The Regent of Fanged Fury,
1503,1503,"Frontier, Conquest, and Accommodation",University of Gwylim Press,An essay about the early Nordic settlement of Tamriel.
1504,1504,Frost's Identity Papers,Anonymous,Deed of ownership and background information for a valuable steed.
